Wall time,Step,Value
1662114482.122918,52,-451.64312744140625
1662114501.3306174,53,-695.6847534179688
1662114520.0236754,54,-910.5407104492188
1662114539.1634612,55,-464.20263671875
1662114559.5930583,56,-507.1678466796875
1662114579.2259507,57,-262.64337158203125
1662114598.4224644,58,-252.754150390625
1662114617.8573177,59,-391.8853454589844
1662114637.3753772,60,-394.7861328125
1662114657.1776886,61,-349.11712646484375
1662114676.769371,62,-367.15618896484375
1662114696.453817,63,-412.7767333984375
1662114715.4772897,64,-214.91107177734375
1662114735.4265947,65,-197.67869567871094
1662114754.0759494,66,-334.3238525390625
1662114774.819812,67,-467.9971923828125
1662114793.8833983,68,-220.04164123535156
1662114813.8440013,69,-218.49276733398438
1662114833.4159188,70,-355.3896789550781
1662114853.3172848,71,-302.8842468261719
1662114873.3928463,72,-291.3105163574219
1662114892.295192,73,-271.8015441894531
1662114911.701201,74,-341.7352294921875
1662114929.6548698,75,-368.6084899902344
1662114947.0211349,76,-215.99090576171875
1662114966.1128473,77,-362.6877746582031
1662114985.3135252,78,-399.474853515625
1662115005.0232782,79,-395.7181091308594
1662115023.9149005,80,-430.0691833496094
1662115042.8347917,81,-349.8278503417969
1662115063.3744345,82,-803.9390258789062
1662115082.6900299,83,-300.7362060546875
1662115101.3202794,84,-274.702392578125
1662115119.6814582,85,-410.1393127441406
1662115138.2498522,86,-497.7857666015625
1662115157.5587137,87,-278.75018310546875
1662115177.0146174,88,-284.8159484863281
1662115197.096066,89,-425.92340087890625
1662115216.332507,90,-446.4076232910156
1662115235.9357593,91,-762.7637329101562
1662115254.9988408,92,-302.2773742675781
1662115274.4761333,93,-523.070068359375
1662115292.8284352,94,-322.9526672363281
1662115311.39001,95,-568.2051391601562
1662115330.8987036,96,-630.8504028320312
1662115350.8343995,97,-272.4626770019531
1662115369.515992,98,-106.27527618408203
1662115388.5865638,99,-540.1416625976562
1662115404.9106596,100,-420.61334228515625
1662115432.0569613,101,-414.1766357421875
1662115451.7741897,102,-226.59405517578125
1662115471.4790657,103,-385.27276611328125
1662115490.7834704,104,-261.30621337890625
1662115509.9181993,105,-291.103515625
1662115529.6590407,106,-323.1612854003906
1662115551.2685633,107,-125.8287353515625
1662115571.1155093,108,-372.2791442871094
1662115590.4944038,109,-179.3778839111328
1662115609.132008,110,-446.0626525878906
1662115628.849005,111,-212.3881378173828
1662115648.874387,112,-339.1327209472656
1662115668.6418507,113,-498.4236755371094
1662115688.7881742,114,-282.38128662109375
1662115709.081217,115,-265.77154541015625
1662115728.0697646,116,-165.4178466796875
1662115747.6028128,117,-243.34207153320312
1662115766.7243228,118,-158.69635009765625
1662115785.8495536,119,-324.84075927734375
1662115804.5372722,120,-270.2246398925781
1662115822.9919713,121,-285.34112548828125
1662115842.3544922,122,-328.0489501953125
1662115861.0094519,123,-335.6452941894531
1662115880.286749,124,-389.2414855957031
1662115900.0431693,125,-483.5605163574219
1662115919.3055246,126,-187.3419647216797
1662115938.4291093,127,-311.7066345214844
1662115957.7070282,128,-438.2843017578125
1662115977.2260945,129,-208.98976135253906
1662115996.829963,130,-361.5102233886719
1662116016.1682389,131,-150.3461456298828
1662116036.1827507,132,-401.46759033203125
1662116056.1768265,133,-322.457763671875
1662116075.5029752,134,-392.1068420410156
1662116094.6716857,135,-254.2955780029297
1662116114.5329475,136,-215.7137451171875
1662116134.2824137,137,-214.79147338867188
1662116153.3045464,138,-321.2112121582031
1662116172.4250736,139,-311.031005859375
1662116193.0726924,140,-341.6553649902344
1662116212.733542,141,-362.4812316894531
1662116231.603179,142,-224.51220703125
1662116249.7568293,143,-222.8180389404297
1662116268.0807803,144,-226.30267333984375
1662116286.0088933,145,-240.6443634033203
1662116305.2572107,146,-305.7703857421875
1662116324.214373,147,-126.53968048095703
1662116343.677045,148,-280.5067138671875
1662116362.6549397,149,-240.5115203857422
1662116381.7125971,150,-262.4004211425781
1662116411.8936484,151,-328.3121032714844
1662116430.528489,152,-348.03192138671875
1662116450.6128583,153,-153.01858520507812
1662116470.3381364,154,-266.4779357910156
1662116489.8240845,155,-248.87417602539062
1662116509.365555,156,-255.06956481933594
1662116527.9274788,157,-371.3453063964844
1662116548.2770424,158,-149.6356658935547
1662116568.0312023,159,-380.2656555175781
1662116587.5119996,160,-295.0621643066406
1662116606.0607288,161,-425.676513671875
1662116625.2501442,162,-355.42901611328125
1662116643.8173027,163,-213.078125
1662116661.7883253,164,-363.4573669433594
1662116680.3526173,165,-401.3726806640625
1662116698.283432,166,-254.4418487548828
1662116717.727645,167,-181.6815185546875
1662116737.2339396,168,-287.0974426269531
1662116757.189554,169,-241.6797332763672
1662116776.3607657,170,-376.05242919921875
1662116795.1456017,171,-369.9833984375
1662116813.5784676,172,-365.63037109375
1662116833.054872,173,-314.5670166015625
1662116852.959564,174,-146.0098419189453
1662116871.8522158,175,-230.17881774902344
1662116890.6537418,176,-333.1396484375
1662116910.6252136,177,-269.9768981933594
1662116929.1696765,178,-302.4103698730469
1662116947.926621,179,-335.24908447265625
1662116966.8024614,180,-277.1864318847656
1662116986.5805576,181,-322.51678466796875
1662117006.271667,182,-192.40643310546875
1662117024.8945518,183,-294.5862121582031
1662117044.766959,184,-299.0252990722656
1662117063.5882635,185,-224.12950134277344
1662117081.87035,186,-399.7481689453125
1662117102.2316606,187,-292.46453857421875
1662117121.3851047,188,-383.2418212890625
1662117140.3302996,189,-398.0536193847656
1662117159.72182,190,-217.12135314941406
1662117178.0040681,191,-301.4097595214844
1662117197.8964365,192,-81.25028991699219
1662117217.5769937,193,-187.62242126464844
1662117236.141372,194,-130.25038146972656
1662117255.9009793,195,-210.2587890625
1662117275.2930777,196,-167.38311767578125
1662117294.315405,197,-352.3131408691406
1662117313.978339,198,-284.4675598144531
1662117331.6201446,199,-318.4911804199219
1662117348.5238554,200,-290.5455017089844
1662117378.3255818,201,-87.8235855102539
1662117396.3748846,202,-337.50360107421875
1662117415.617197,203,-173.90431213378906
1662117435.841014,204,-325.4217834472656
1662117454.658703,205,-253.25497436523438
1662117473.341816,206,-337.0542297363281
1662117491.4015355,207,-367.11492919921875
1662117510.0015914,208,-267.1462097167969
1662117528.6502943,209,-374.860107421875
1662117548.245562,210,-346.27783203125
1662117567.745788,211,-223.6553192138672
1662117586.4065928,212,-340.6539001464844
1662117605.5599785,213,-214.86117553710938
1662117625.396239,214,-118.77088928222656
1662117645.0944164,215,-232.54022216796875
1662117665.0610497,216,-352.3012390136719
1662117685.7131531,217,-160.94927978515625
1662117705.072996,218,-262.9240417480469
1662117724.4268181,219,-279.96270751953125
1662117744.118081,220,-123.68309020996094
1662117764.1027,221,-323.2225036621094
1662117784.3458025,222,-301.2762145996094
1662117804.5368984,223,-283.7406005859375
1662117822.8768482,224,-422.57342529296875
1662117841.6230252,225,-264.59429931640625
1662117860.2974572,226,-359.5606994628906
1662117878.5750625,227,-98.72265625
1662117898.305405,228,-173.9467010498047
1662117918.1181204,229,-185.037353515625
1662117937.0462399,230,-129.1370849609375
1662117956.593118,231,-294.40362548828125
1662117975.4978347,232,-241.75367736816406
1662117994.142096,233,-253.54769897460938
1662118012.4292533,234,-94.04094696044922
1662118031.6034274,235,-329.82464599609375
1662118051.0045485,236,-275.65692138671875
1662118071.3269596,237,-209.053466796875
1662118091.4383748,238,-269.43389892578125
1662118110.5024288,239,-382.97314453125
1662118129.802467,240,-325.8978271484375
1662118149.6251583,241,-308.05224609375
1662118168.5995052,242,-181.9224853515625
1662118186.8739288,243,-272.66357421875
1662118206.8964074,244,-177.96173095703125
1662118225.8604379,245,-268.9193420410156
1662118245.6373444,246,-312.6109924316406
1662118264.3522294,247,-270.443115234375
1662118283.533286,248,-359.2718505859375
1662118301.3985143,249,-180.177734375
1662118320.8635638,250,-185.13671875
1662118349.9853277,251,-178.66477966308594
1662118368.3933578,252,-230.3558349609375
1662118387.3659587,253,-400.7934265136719
1662118407.5932395,254,-232.1685791015625
1662118427.5435157,255,-226.69989013671875
1662118447.2621374,256,-261.4889831542969
1662118466.6532338,257,-327.98187255859375
1662118485.2138581,258,-337.21246337890625
1662118504.7558835,259,-333.1465148925781
1662118522.880865,260,-272.1900329589844
1662118541.7345338,261,-194.59906005859375
1662118561.0460463,262,-306.06964111328125
1662118580.2984104,263,-472.46063232421875
1662118599.6871824,264,-293.6737060546875
1662118617.5561168,265,-370.32757568359375
1662118637.4956133,266,-304.04388427734375
1662118657.4084399,267,-383.28948974609375
1662118675.6365242,268,-207.1728515625
1662118695.4215264,269,-255.31854248046875
1662118713.8371537,270,-221.46392822265625
1662118733.2472546,271,-208.09584045410156
1662118752.3041208,272,-269.2338562011719
1662118770.3364952,273,-330.60516357421875
1662118789.6852427,274,-352.66253662109375
1662118808.5698483,275,-206.30569458007812
1662118827.954621,276,-366.6458740234375
1662118847.1692126,277,-365.110107421875
1662118866.7191973,278,-316.2298889160156
1662118887.0296323,279,-279.92333984375
1662118906.372721,280,-286.7442932128906
1662118925.6585329,281,-364.24853515625
1662118944.8515131,282,-267.0745849609375
1662118965.0015907,283,-348.6459045410156
1662118984.7071698,284,-390.4397888183594
1662119005.1061676,285,-387.6230773925781
1662119023.9085271,286,-275.1180114746094
1662119043.4670215,287,-354.5065612792969
1662119062.4036498,288,-497.4266052246094
1662119082.2383955,289,-216.74319458007812
1662119100.9327252,290,-377.7115173339844
1662119120.1730294,291,-314.99127197265625
1662119139.2605698,292,-293.6243896484375
1662119157.6393316,293,-273.1540222167969
1662119176.9952924,294,-171.66358947753906
1662119197.5387156,295,-192.41439819335938
1662119216.2497752,296,-395.7746887207031
1662119236.4219706,297,-295.6170959472656
1662119256.0914588,298,-257.8998718261719
1662119274.5684502,299,-240.45681762695312
1662119293.073249,300,-251.1968231201172
1662119324.7586994,301,-369.9921569824219
1662119342.0574603,302,-289.94854736328125
1662119362.2576904,303,-332.56329345703125
1662119381.5784652,304,-378.2145080566406
1662119400.779159,305,-186.80479431152344
1662119419.2330215,306,-347.8778991699219
1662119438.349752,307,-219.0983123779297
1662119456.4900618,308,-386.2845764160156
1662119474.3497477,309,-460.3899841308594
1662119493.7658,310,-237.53271484375
1662119512.551554,311,-353.546630859375
1662119532.7772129,312,-290.8085021972656
1662119551.5555592,313,-248.624755859375
1662119571.3820078,314,-265.1668701171875
1662119591.9956925,315,-246.8151397705078
1662119612.0472746,316,-306.42718505859375
1662119632.2224746,317,-207.6298065185547
1662119650.4307168,318,-104.75450897216797
1662119669.207085,319,-143.3541259765625
1662119688.1972103,320,-364.68524169921875
1662119708.6086228,321,-221.1025390625
1662119728.36686,322,-203.89544677734375
1662119748.0969882,323,-506.65826416015625
1662119767.517581,324,-353.07086181640625
1662119786.631844,325,-164.96231079101562
1662119804.956744,326,-242.8942108154297
1662119824.14784,327,-268.7441711425781
1662119842.7425992,328,-268.3658752441406
1662119861.6756167,329,-228.46444702148438
1662119880.6374202,330,-194.08421325683594
1662119899.8382494,331,-201.53280639648438
1662119918.2700322,332,-154.07220458984375
1662119936.8337529,333,-244.91912841796875
1662119956.0059543,334,-361.483642578125
1662119974.49719,335,-260.2383117675781
1662119994.4611588,336,-292.1919250488281
1662120013.4220498,337,-264.06219482421875
1662120032.3934064,338,-217.40560913085938
1662120050.4144893,339,-277.5959167480469
1662120069.6175017,340,-334.9557189941406
1662120088.674263,341,-336.9830322265625
1662120107.2054281,342,-322.816650390625
1662120126.7572126,343,-272.05303955078125
1662120146.6807709,344,-413.5125732421875
1662120166.4584079,345,-228.7782440185547
1662120185.34967,346,-209.103759765625
1662120203.913248,347,-249.58811950683594
1662120223.4366596,348,-347.26641845703125
1662120241.9353857,349,-327.9302978515625
1662120261.1296747,350,-375.83062744140625
1662120292.043715,351,-302.03790283203125
1662120312.5583732,352,-121.56878662109375
1662120329.7941606,353,-403.2604675292969
1662120350.012786,354,-60.025421142578125
1662120369.6917398,355,-380.5138854980469
1662120389.7713563,356,-253.04290771484375
1662120409.468783,357,-379.0661926269531
1662120428.6132169,358,-434.7982482910156
1662120447.6103065,359,-157.08538818359375
1662120467.531658,360,-182.004150390625
1662120487.7273085,361,-311.4682922363281
1662120507.0545335,362,-452.7688293457031
1662120525.6591647,363,-424.6148376464844
1662120544.7119045,364,-283.1120300292969
1662120563.7987595,365,-192.767822265625
1662120582.3762624,366,-222.22898864746094
1662120601.9366467,367,-425.2189636230469
1662120620.1896133,368,-215.93641662597656
1662120640.1267736,369,-248.0960235595703
1662120659.052611,370,-396.0651550292969
1662120677.0473654,371,-401.84326171875
1662120696.2761002,372,-385.1706237792969
1662120717.1350086,373,-379.1902770996094
1662120736.807136,374,-350.1871032714844
1662120756.458161,375,-485.441162109375
1662120776.1907,376,-143.49542236328125
1662120795.861065,377,-343.6947326660156
1662120815.4749873,378,-214.36099243164062
1662120834.9115152,379,-425.4610595703125
1662120853.878365,380,-368.6915283203125
1662120874.147168,381,-153.71595764160156
1662120893.4582794,382,-372.80572509765625
1662120912.1695442,383,-290.3880310058594
1662120931.8412864,384,-337.9449462890625
1662120951.257569,385,-231.72064208984375
1662120970.4969783,386,-370.69952392578125
1662120990.406926,387,-362.9337463378906
1662121010.749232,388,-384.4320068359375
1662121031.1694448,389,-281.3734436035156
1662121049.5404367,390,-235.0559539794922
1662121067.692448,391,-287.35552978515625
1662121087.0221057,392,-338.6671447753906
1662121106.7855144,393,-379.6684875488281
1662121126.1422362,394,-370.5064697265625
1662121145.9544356,395,-246.68307495117188
1662121166.0712671,396,-331.1481628417969
1662121186.981251,397,-273.66094970703125
1662121205.7224932,398,-305.03814697265625
1662121223.5225892,399,-390.5255126953125
