Wall time,Step,Value
1660324655.1422572,0,-1434.0313720703125
1660324681.763543,1,-976.126220703125
1660324706.5391276,2,-988.6196899414062
1660324729.8718195,3,-1162.7874755859375
1660324752.0363934,4,-943.9667358398438
1660324775.246131,5,-773.1930541992188
1660324799.966339,6,-887.5465087890625
1660324823.5603335,7,-854.1586303710938
1660324845.67928,8,-999.2018432617188
1660324869.1369805,9,-972.0028076171875
1660324892.2871928,10,-782.6670532226562
1660324913.8746598,11,-840.3643798828125
1660324937.5436895,12,-851.0198974609375
1660324960.263145,13,-866.6181640625
1660324983.5837917,14,-841.6641235351562
1660325005.6528907,15,-781.9854125976562
1660325029.9084742,16,-818.617919921875
1660325051.583976,17,-727.55859375
1660325074.8948936,18,-971.6400756835938
1660325097.7734034,19,-970.908935546875
1660325119.0571365,20,-828.8690185546875
1660325141.59816,21,-716.0382690429688
1660325161.8026683,22,-892.9341430664062
1660325182.425056,23,-811.3684692382812
1660325204.763849,24,-1099.152587890625
1660325228.0386553,25,-722.156982421875
1660325251.8379514,26,-864.3443603515625
1660325274.1806266,27,-556.3435668945312
1660325297.7726939,28,-720.62744140625
1660325320.696719,29,-790.1121215820312
1660325344.1522279,30,-749.5202026367188
1660325368.1479964,31,-744.6512451171875
1660325390.6638792,32,-639.4129028320312
1660325412.8215368,33,-659.3564453125
1660325435.7643964,34,-651.4248046875
1660325458.6725965,35,-499.1911315917969
1660325479.8543627,36,-762.9536743164062
1660325502.2137322,37,-678.813720703125
1660325525.5923402,38,-684.9515991210938
1660325550.6126819,39,-645.3389282226562
1660325573.5697238,40,-518.4876708984375
1660325599.3142197,41,-547.9547119140625
1660325622.9716175,42,-559.6134643554688
1660325645.491276,43,-532.7443237304688
1660325668.2987697,44,-529.5149536132812
1660325689.1996107,45,-644.7388916015625
1660325713.3342264,46,-531.9503784179688
1660325736.151799,47,-650.923095703125
1660325755.455709,48,-702.6593627929688
1660325779.0419908,49,-806.1033325195312
1660325801.4264746,50,-684.9024047851562
1660325832.8814995,51,-684.8261108398438
1660325855.6116416,52,-673.345703125
1660325877.9467313,53,-697.9544067382812
1660325900.1256375,54,-379.8172912597656
1660325923.2077205,55,-559.177490234375
1660325945.518738,56,-485.5180969238281
1660325968.8146057,57,-627.1939697265625
1660325990.2419305,58,-476.8454284667969
1660326012.2180576,59,-466.88330078125
1660326034.011071,60,-471.3332824707031
1660326056.332912,61,-508.87506103515625
1660326077.4356391,62,-484.2188720703125
1660326100.09896,63,-664.7399291992188
1660326122.5900497,64,-428.26031494140625
1660326144.7943017,65,-569.93212890625
1660326167.8690112,66,-529.048828125
1660326192.2297494,67,-669.823974609375
1660326217.0165358,68,-480.83062744140625
1660326242.6773686,69,-656.3690795898438
1660326264.2955885,70,-404.7928161621094
1660326287.5848117,71,-833.5432739257812
1660326309.917644,72,-526.5617065429688
1660326332.46401,73,-717.4998168945312
1660326354.711915,74,-693.3644409179688
1660326376.1950455,75,-500.3204650878906
1660326397.147816,76,-844.7548828125
1660326418.638503,77,-222.68093872070312
1660326439.5750983,78,-398.87811279296875
1660326462.2163107,79,-151.29420471191406
1660326483.842335,80,-455.95892333984375
1660326504.8811457,81,-541.7639770507812
1660326526.8337085,82,-385.02301025390625
1660326549.8869693,83,-536.130859375
1660326571.978001,84,-294.3514709472656
1660326594.3245637,85,-508.9726257324219
1660326616.3724205,86,-625.6864624023438
1660326638.263322,87,-347.87347412109375
1660326658.9481645,88,-336.94427490234375
1660326681.235209,89,-405.0213928222656
1660326702.4353406,90,-106.03174591064453
1660326726.3004718,91,-431.2265319824219
1660326748.4648447,92,-418.31512451171875
1660326769.6230748,93,-378.5113525390625
1660326790.5626364,94,-270.5985412597656
1660326811.4493191,95,-492.451171875
1660326834.1058574,96,-292.7738952636719
1660326855.0641894,97,-293.37664794921875
1660326877.814307,98,-212.49136352539062
1660326900.3723958,99,-277.7427062988281
1660326922.0305076,100,-238.99232482910156
1660326953.1691265,101,-435.0751647949219
1660326975.117934,102,-400.5689392089844
1660326997.1055229,103,-396.17236328125
1660327018.8744934,104,-475.4612731933594
1660327040.3587549,105,-178.6685333251953
1660327062.2166638,106,-476.3569641113281
1660327083.357552,107,-333.322021484375
1660327104.9869435,108,-222.34423828125
1660327125.5033624,109,-239.3527069091797
1660327147.877743,110,-259.7563781738281
1660327170.7536838,111,-239.4210662841797
1660327193.366799,112,-244.70921325683594
1660327216.2528503,113,-273.1951599121094
1660327238.22333,114,-279.1095275878906
1660327260.6601856,115,-152.40292358398438
1660327281.5950756,116,-499.8833312988281
1660327302.671718,117,-400.4442443847656
1660327323.7477424,118,-312.8006896972656
1660327347.170392,119,-379.1898193359375
1660327369.7117026,120,-231.5563201904297
1660327390.6957772,121,-592.4974975585938
1660327411.8034043,122,-485.8492431640625
1660327432.225445,123,-472.29693603515625
1660327452.9848812,124,-447.1003723144531
1660327476.8462946,125,-375.3089599609375
1660327501.5366201,126,-297.8255920410156
1660327522.664161,127,-579.550537109375
1660327546.0834382,128,-410.5863037109375
1660327569.3188787,129,-500.9359130859375
1660327591.7571483,130,-234.18238830566406
1660327612.8971329,131,-139.7007293701172
1660327634.0912688,132,-401.27252197265625
1660327656.442666,133,-345.23095703125
1660327678.833307,134,-490.9588928222656
1660327698.8661666,135,-384.25048828125
1660327719.9927318,136,-276.03936767578125
1660327742.3128114,137,-363.67333984375
1660327763.6031642,138,-317.72076416015625
1660327785.5121398,139,-268.6041564941406
1660327807.1675525,140,-324.8399353027344
1660327829.9893498,141,-345.3984680175781
1660327851.6462073,142,-349.37091064453125
1660327874.0564818,143,-27.676742553710938
1660327894.762073,144,-338.28668212890625
1660327919.1185791,145,-223.6170654296875
1660327939.4614794,146,-390.746337890625
1660327960.8320549,147,-431.19830322265625
1660327983.763628,148,-204.48175048828125
1660328005.428586,149,-406.1229553222656
1660328028.7716568,150,-267.1961364746094
1660328056.6653345,151,-291.75189208984375
1660328079.009203,152,-197.53550720214844
1660328100.4393618,153,-257.7454833984375
1660328122.94552,154,-177.7205047607422
1660328144.404369,155,-335.5493469238281
1660328166.2105513,156,-177.1369171142578
1660328189.3886647,157,-165.3050079345703
1660328210.6344566,158,-357.3427734375
1660328233.6483788,159,-357.3494873046875
1660328255.884885,160,-170.48878479003906
1660328279.3794534,161,-234.38088989257812
1660328301.8029056,162,-241.90000915527344
1660328323.8065846,163,-178.8626708984375
1660328347.8433497,164,-211.01943969726562
1660328369.752008,165,-306.0839538574219
1660328389.6238368,166,-326.120361328125
1660328410.4497998,167,-142.09910583496094
1660328430.801945,168,-277.4783935546875
1660328450.6296678,169,-319.89581298828125
1660328471.038429,170,-316.4236145019531
1660328491.4353025,171,-167.17581176757812
1660328511.8570018,172,-190.22645568847656
1660328532.207166,173,-122.69693756103516
1660328552.0908587,174,-152.0486602783203
1660328572.0327199,175,-188.69236755371094
1660328591.8416698,176,-242.80203247070312
1660328611.3719897,177,-0.16638235747814178
1660328631.8422723,178,-357.66912841796875
1660328652.1737814,179,-256.806640625
1660328672.6684601,180,-238.6083984375
1660328693.3454988,181,-109.42432403564453
