Wall time,Step,Value
1660324653.7612746,0,-892.4318237304688
1660324678.3386083,1,-786.403076171875
1660324701.6535485,2,-869.4830932617188
1660324725.2422435,3,-990.05029296875
1660324747.044901,4,-686.5913696289062
1660324769.3511314,5,-631.6845703125
1660324792.9390948,6,-647.4397583007812
1660324814.7412078,7,-643.393310546875
1660324836.420299,8,-487.418701171875
1660324857.8246045,9,-304.1625061035156
1660324878.696857,10,-498.8923034667969
1660324901.0274286,11,-454.8597106933594
1660324923.251299,12,-220.45823669433594
1660324945.150842,13,-437.0419006347656
1660324965.7942271,14,-293.4361877441406
1660324988.119134,15,-236.8733367919922
1660325008.803388,16,-303.5486755371094
1660325030.2428164,17,-112.93987274169922
1660325051.7783132,18,-329.0404968261719
1660325071.816276,19,-372.27734375
1660325091.669578,20,-228.33753967285156
1660325112.9271803,21,-320.66363525390625
1660325136.2520497,22,-154.4978790283203
1660325157.8941329,23,-191.13209533691406
1660325180.8442726,24,-163.24436950683594
1660325204.4354815,25,-269.5463562011719
1660325226.9749963,26,-213.78517150878906
1660325248.7626727,27,-201.5712432861328
1660325270.6886847,28,-150.8302459716797
1660325293.0374696,29,-188.88270568847656
1660325314.104327,30,-257.803955078125
1660325334.6933572,31,-113.23489379882812
1660325356.2548277,32,-30.44715118408203
1660325376.8530893,33,-34.77908706665039
1660325399.1785262,34,-110.68921661376953
1660325420.1179159,35,-78.65699768066406
1660325441.6584656,36,-20.209836959838867
1660325463.9434245,37,-83.91692352294922
1660325486.534809,38,-143.65277099609375
1660325509.2635305,39,-62.87714385986328
1660325531.7647572,40,-71.93964385986328
1660325552.7448115,41,-46.99808883666992
1660325573.7831209,42,-66.4775390625
1660325596.1110725,43,-6.1585845947265625
1660325617.7360451,44,46.31768798828125
1660325640.4895158,45,65.86470031738281
1660325663.8463745,46,-35.48370361328125
1660325685.1671999,47,-61.889522552490234
1660325706.7161703,48,-8.807378768920898
1660325728.2708194,49,-19.861984252929688
1660325748.0812466,50,-62.31003189086914
1660325782.3028784,51,37.42976379394531
1660325805.0295503,52,-24.874448776245117
1660325826.174869,53,77.3292236328125
1660325845.542062,54,-59.69904708862305
1660325868.600354,55,13.62441349029541
1660325888.6175725,56,81.73616027832031
1660325908.626609,57,74.23530578613281
1660325930.1178687,58,34.47712707519531
1660325952.2333302,59,-53.7588005065918
1660325975.8158565,60,14.201973915100098
1660325997.0976458,61,-81.23777770996094
1660326018.690557,62,-1.5234723091125488
1660326039.6765742,63,4.177694320678711
1660326060.1438572,64,56.08913803100586
1660326081.529005,65,9.631470680236816
1660326103.5789392,66,42.47832107543945
1660326124.2326064,67,89.3134765625
1660326147.0852637,68,101.55043029785156
