Wall time,Step,Value
1660324657.4602268,0,-842.4652709960938
1660324684.904573,1,-899.1092529296875
1660324709.1629198,2,-826.1668701171875
1660324732.315478,3,-728.34326171875
1660324756.3063643,4,-898.0794067382812
1660324779.3728197,5,-809.510009765625
1660324801.718309,6,-784.234619140625
1660324822.5823944,7,-625.112548828125
1660324845.2629147,8,-682.140869140625
1660324867.9889836,9,-431.3346862792969
1660324891.2400072,10,-525.4730224609375
1660324913.31142,11,-507.1247863769531
1660324936.2983024,12,-513.4327392578125
1660324959.4376988,13,-374.7759704589844
1660324982.2810316,14,-384.9111022949219
1660325004.07526,15,-205.41751098632812
1660325026.9376223,16,-252.841064453125
1660325048.34341,17,-258.10699462890625
1660325070.9471812,18,-340.07568359375
1660325093.2583272,19,-229.35972595214844
1660325116.1900656,20,-233.98861694335938
1660325139.5998118,21,-263.9695739746094
1660325161.8389075,22,-360.40997314453125
1660325184.211354,23,-258.9355773925781
1660325207.375787,24,-342.30908203125
1660325230.9025853,25,-301.4369812011719
1660325255.3634121,26,-247.3533477783203
1660325278.154339,27,-338.17852783203125
1660325300.860308,28,-259.02313232421875
1660325323.0960128,29,-268.5298767089844
1660325343.8248768,30,-213.07643127441406
1660325367.3304288,31,-223.54788208007812
1660325390.0671892,32,-210.6670379638672
1660325411.4502807,33,-188.41009521484375
1660325434.3224604,34,-186.56253051757812
1660325455.6419427,35,-226.2635040283203
1660325477.5659158,36,-231.85336303710938
1660325499.3656354,37,-132.63136291503906
1660325522.7526255,38,-180.24790954589844
1660325546.0071917,39,-169.35008239746094
1660325568.0278912,40,-143.1739959716797
1660325592.3223488,41,-205.8445587158203
1660325617.741102,42,-199.80226135253906
1660325639.7919745,43,-93.14167022705078
1660325661.6597204,44,-222.4176483154297
1660325683.453877,45,-191.46238708496094
1660325704.6753275,46,-104.25811767578125
1660325728.343805,47,-127.1698226928711
1660325750.3853233,48,-168.08477783203125
1660325774.709419,49,-181.3715362548828
1660325799.6402943,50,-171.93096923828125
1660325828.5807092,51,22.530437469482422
1660325851.4764552,52,-176.20846557617188
1660325873.4127133,53,-131.17112731933594
1660325895.7853513,54,-204.0380401611328
1660325919.3717,55,-211.43055725097656
1660325941.7376666,56,-152.66146850585938
1660325963.0699067,57,-149.5457763671875
1660325986.148127,58,-180.87059020996094
1660326009.1000001,59,-141.72911071777344
1660326030.7322688,60,-41.9617919921875
1660326052.597151,61,-126.91935729980469
1660326074.8975503,62,-71.25199127197266
1660326097.897326,63,-103.81314086914062
1660326121.5413847,64,-232.99000549316406
1660326143.2500181,65,-113.5559310913086
1660326166.0867555,66,-109.97183990478516
1660326189.6626282,67,-73.05180358886719
1660326214.2386818,68,-42.72121810913086
1660326239.8870776,69,-135.11508178710938
1660326262.1872385,70,-70.95915985107422
1660326283.1174428,71,-53.66660690307617
1660326305.0819714,72,14.5421142578125
1660326327.5648708,73,-130.05029296875
1660326348.206592,74,-156.0290985107422
1660326371.421946,75,-131.03021240234375
1660326393.6090572,76,-57.86638641357422
1660326413.6482387,77,-75.05375671386719
1660326435.178849,78,-280.0257873535156
1660326457.6890395,79,59.038211822509766
1660326480.4835608,80,-133.47305297851562
1660326502.6635141,81,-206.6656951904297
1660326525.8047314,82,-26.998504638671875
1660326548.4255946,83,-66.87203979492188
1660326571.3163872,84,35.5242919921875
1660326592.4318779,85,37.77466583251953
1660326614.5586545,86,-88.63724517822266
1660326637.6692069,87,-16.024736404418945
1660326660.6766965,88,69.7369155883789
1660326683.0880187,89,-94.44135284423828
